,date,post_count_anger,post_count_disgust,post_count_fear,post_count_joy,post_count_neutral,post_count_sadness,post_count_surprise,score_anger,score_disgust,score_fear,score_joy,score_neutral,score_sadness,score_surprise,close
19,2022-01-31,66.0,2.0,104.0,341.0,366.0,190.0,361.0,1018.0,172.0,1370.0,5141.0,2650.0,1916.0,7167.0,149.5735016
20,2022-02-01,66.0,1.0,106.0,271.0,404.0,189.0,327.0,1842.0,8.0,1047.0,4912.0,2207.0,1734.0,5817.0,151.1934967
21,2022-02-02,52.0,1.0,108.0,258.0,355.0,209.0,322.0,1795.0,29.0,7977.0,2763.0,1509.0,7194.0,3152.0,150.6125031
22,2022-02-03,54.0,1.0,105.0,286.0,387.0,194.0,303.0,25025.0,5.0,4093.0,8475.0,3197.0,2573.0,8570.0,138.8455048
23,2022-02-04,58.0,2.0,106.0,291.0,362.0,186.0,314.0,7996.0,6.0,1619.0,3986.0,2754.0,2318.0,12684.0,157.6394958
24,2022-02-07,56.0,2.0,101.0,310.0,356.0,222.0,338.0,562.0,3.0,2369.0,7907.0,2259.0,3273.0,21804.0,157.9355011
25,2022-02-08,51.0,2.0,103.0,289.0,365.0,200.0,337.0,986.0,233.0,1434.0,4894.0,2384.0,9584.0,5975.0,161.4134979
26,2022-02-09,65.0,5.0,109.0,282.0,402.0,184.0,281.0,4111.0,14.0,6023.0,7610.0,2540.0,3557.0,3891.0,161.1894989
27,2022-02-10,58.0,0.0,86.0,293.0,404.0,173.0,313.0,5588.0,0.0,3913.0,9122.0,5030.0,2522.0,2787.0,159.0034943
28,2022-02-11,58.0,4.0,80.0,277.0,397.0,204.0,332.0,10305.0,49.0,1944.0,2537.0,7802.0,2775.0,7268.0,153.2935028
29,2022-02-14,177.0,6.0,690.0,3214.0,755.0,543.0,666.0,1312.0,431.0,4434.0,8208.0,4851.0,2470.0,3819.0,155.1670074
30,2022-02-15,208.0,1.0,621.0,3225.0,900.0,487.0,577.0,12263.0,1.0,2514.0,5505.0,2541.0,21866.0,6149.0,156.510498
31,2022-02-16,136.0,4.0,430.0,1725.0,705.0,382.0,480.0,1031.0,5.0,11403.0,6341.0,2849.0,17001.0,4332.0,158.1004944
32,2022-02-17,149.0,2.0,405.0,1625.0,611.0,291.0,481.0,5679.0,3.0,2658.0,5748.0,3092.0,1483.0,2820.0,154.6524963
33,2022-02-18,135.0,2.0,395.0,1660.0,663.0,363.0,448.0,922.0,2.0,2539.0,14112.0,4384.0,13543.0,2973.0,152.6015015
34,2022-02-22,111.0,5.0,366.0,1707.0,565.0,371.0,514.0,633.0,184.0,4670.0,7935.0,3305.0,3746.0,3310.0,150.1974945
35,2022-02-23,130.0,2.0,429.0,2753.0,1133.0,544.0,663.0,3744.0,2.0,1483.0,5307.0,2788.0,2121.0,25178.0,144.8269958
36,2022-02-24,78.0,2.0,316.0,1794.0,1579.0,372.0,486.0,1114.0,2.0,7673.0,4164.0,3615.0,1904.0,7207.0,151.3580017
37,2022-02-25,93.0,3.0,275.0,2025.0,1809.0,430.0,526.0,622.0,17.0,1182.0,6699.0,3468.0,3971.0,4396.0,153.7884979
38,2022-02-28,68.0,3.0,121.0,504.0,432.0,205.0,296.0,7822.0,3.0,1009.0,2355.0,1933.0,2096.0,3021.0,153.5630035
39,2022-03-01,170.0,8.0,476.0,2296.0,707.0,541.0,601.0,3108.0,11.0,1222.0,10968.0,5696.0,5714.0,16140.0,151.1419983
40,2022-03-02,201.0,3.0,500.0,2418.0,548.0,467.0,588.0,5525.0,3.0,3269.0,8345.0,2792.0,1709.0,8996.0,152.0525055
41,2022-03-03,185.0,2.0,599.0,1808.0,536.0,495.0,509.0,1258.0,20.0,2373.0,9150.0,2260.0,9027.0,7380.0,147.8984985
42,2022-03-04,93.0,1.0,178.0,811.0,520.0,208.0,366.0,1419.0,1.0,8422.0,2744.0,3254.0,2878.0,7860.0,145.6410065
43,2022-03-07,59.0,1.0,104.0,288.0,407.0,199.0,280.0,5960.0,1.0,3750.0,2464.0,2957.0,2198.0,2299.0,137.4530029
44,2022-03-08,49.0,1.0,81.0,277.0,430.0,204.0,274.0,506.0,7.0,3978.0,13852.0,3419.0,2786.0,7910.0,136.0144958
45,2022-03-09,96.0,2.0,135.0,339.0,494.0,187.0,321.0,35321.0,16.0,2041.0,4474.0,3042.0,8627.0,15643.0,139.279007
46,2022-03-10,53.0,0.0,81.0,264.0,448.0,203.0,283.0,263.0,0.0,1114.0,3336.0,3525.0,12579.0,1631.0,146.8175049
47,2022-03-11,65.0,1.0,101.0,251.0,471.0,190.0,286.0,3051.0,6.0,12179.0,2502.0,2445.0,1854.0,2424.0,145.5245056
48,2022-03-14,101.0,5.0,320.0,1736.0,722.0,349.0,449.0,3401.0,5.0,6206.0,4886.0,2768.0,14101.0,2092.0,141.8529968
49,2022-03-15,116.0,4.0,296.0,1739.0,666.0,334.0,487.0,6379.0,3.0,1332.0,5261.0,7821.0,6070.0,3463.0,147.3665009
50,2022-03-16,103.0,1.0,309.0,1681.0,658.0,335.0,437.0,3680.0,1.0,1955.0,7324.0,4235.0,1823.0,2144.0,153.1040039
51,2022-03-17,129.0,1.0,366.0,2253.0,786.0,401.0,459.0,4675.0,1.0,1999.0,7655.0,2977.0,2390.0,2111.0,157.2389984
